PHYSICAL CITY,PHYSICAL STATE,PHYSICAL ZIP,ZIP,RegionAssignment
SEALEVEL,NC,28577,28577,NORTH CAROLINA
SEDALIA,NC,27342,27342,NORTH CAROLINA
SELMA,NC,27576,27576,NORTH CAROLINA
SEMORA,NC,27343,27343,NORTH CAROLINA
SEVEN SPRINGS,NC,28578,28578,NORTH CAROLINA
SEVERN,NC,27877,27877,NORTH CAROLINA
SHALLOTTE,NC,28470,28470,NORTH CAROLINA
SHANNON,NC,28386,28386,NORTH CAROLINA
SHARPSBURG,NC,27878,27878,NORTH CAROLINA
SHAWBORO,NC,27973,27973,NORTH CAROLINA
SHELBY,NC,28150,28150,NORTH CAROLINA
SHERRILLS FORD,NC,28673,28673,NORTH CAROLINA
SHILOH,NC,27974,27974,NORTH CAROLINA
SILER CITY,NC,27344,27344,NORTH CAROLINA
SILOAM,NC,27047,27047,NORTH CAROLINA
SIMPSON,NC,27879,27879,NORTH CAROLINA
SIMS,NC,27880,27880,NORTH CAROLINA
SKYLAND,NC,28776,28776,NORTH CAROLINA
SMITHFIELD,NC,27577,27577,NORTH CAROLINA
SMYRNA,NC,28579,28579,NORTH CAROLINA
SNEADS FERRY,NC,28460,28460,NORTH CAROLINA
SNOW CAMP,NC,27349,27349,NORTH CAROLINA
SNOW HILL,NC,28580,28580,NORTH CAROLINA
SOPHIA,NC,27350,27350,NORTH CAROLINA
SOUTH MILLS,NC,27976,27976,NORTH CAROLINA
SOUTHMONT,NC,27351,27351,NORTH CAROLINA
SOUTHPORT,NC,28461,28461,NORTH CAROLINA
SPARTA,NC,28675,28675,NORTH CAROLINA
SPEED,NC,27881,27881,NORTH CAROLINA
SPENCER,NC,28159,28159,NORTH CAROLINA
SPINDALE,NC,28160,28160,NORTH CAROLINA
SPRING HOPE,NC,27882,27882,NORTH CAROLINA
SPRING LAKE,NC,28390,28390,NORTH CAROLINA
SPRUCE PINE,NC,28777,28777,NORTH CAROLINA
STALEY,NC,27355,27355,NORTH CAROLINA
STANFIELD,NC,28163,28163,NORTH CAROLINA
STANLEY,NC,28164,28164,NORTH CAROLINA
STANTONSBURG,NC,27883,27883,NORTH CAROLINA
STAR,NC,27356,27356,NORTH CAROLINA
STATE ROAD,NC,28676,28676,NORTH CAROLINA
STATESVILLE,NC,28677,28677,NORTH CAROLINA
STEDMAN,NC,28391,28391,NORTH CAROLINA
STELLA,NC,28582,28582,NORTH CAROLINA
STEM,NC,27581,27581,NORTH CAROLINA
STOKES,NC,27884,27884,NORTH CAROLINA
STOKESDALE,NC,27357,27357,NORTH CAROLINA
STONEVILLE,NC,27048,27048,NORTH CAROLINA
STONEWALL,NC,28583,28583,NORTH CAROLINA
STONY POINT,NC,28678,28678,NORTH CAROLINA
STOVALL,NC,27582,27582,NORTH CAROLINA
SUGAR GROVE,NC,28679,28679,NORTH CAROLINA
SUMMERFIELD,NC,27358,27358,NORTH CAROLINA
SUNBURY,NC,27979,27979,NORTH CAROLINA
SUPPLY,NC,28462,28462,NORTH CAROLINA
SWANNANOA,NC,28778,28778,NORTH CAROLINA
SWANQUARTER,NC,27885,27885,NORTH CAROLINA
SWANSBORO,NC,28584,28584,NORTH CAROLINA
SYLVA,NC,28779,28779,NORTH CAROLINA
TABOR CITY,NC,28463,28463,NORTH CAROLINA
TAR HEEL,NC,28392,28392,NORTH CAROLINA
TARBORO,NC,27886,27886,NORTH CAROLINA
TAYLORSVILLE,NC,28681,28681,NORTH CAROLINA
TEACHEY,NC,28464,28464,NORTH CAROLINA
TERRELL,NC,28682,28682,NORTH CAROLINA
THOMASVILLE,NC,27360,27360,NORTH CAROLINA
THURMOND,NC,28683,28683,NORTH CAROLINA
TILLERY,NC,27887,27887,NORTH CAROLINA
TIMBERLAKE,NC,27583,27583,NORTH CAROLINA
TOAST,NC,27049,27049,NORTH CAROLINA
TOBACCOVILLE,NC,27050,27050,NORTH CAROLINA
TODD,NC,28684,28684,NORTH CAROLINA
TOPTON,NC,28781,28781,NORTH CAROLINA
TOWNSVILLE,NC,27584,27584,NORTH CAROLINA
TRAPHILL,NC,28685,28685,NORTH CAROLINA
TRENTON,NC,28585,28585,NORTH CAROLINA
TRINITY,NC,27370,27370,NORTH CAROLINA
TROUTMAN,NC,28166,28166,NORTH CAROLINA
TROY,NC,27371,27371,NORTH CAROLINA
TRYON,NC,28782,28782,NORTH CAROLINA
TUCKASEGEE,NC,28783,28783,NORTH CAROLINA
TURKEY,NC,28393,28393,NORTH CAROLINA
TURNERSBURG,NC,28688,28688,NORTH CAROLINA
TYNER,NC,27980,27980,NORTH CAROLINA
UNION GROVE,NC,28689,28689,NORTH CAROLINA
UNION MILLS,NC,28167,28167,NORTH CAROLINA
VALDESE,NC,28690,28690,NORTH CAROLINA
VALE,NC,28168,28168,NORTH CAROLINA
VANCEBORO,NC,28586,28586,NORTH CAROLINA
VASS,NC,28394,28394,NORTH CAROLINA
VILAS,NC,28692,28692,NORTH CAROLINA
WACO,NC,28169,28169,NORTH CAROLINA
WADE,NC,28395,28395,NORTH CAROLINA
WADESBORO,NC,28170,28170,NORTH CAROLINA
WAGRAM,NC,28396,28396,NORTH CAROLINA
WAKE FOREST,NC,27587,27587,NORTH CAROLINA
WALKERTOWN,NC,27051,27051,NORTH CAROLINA
WALLACE,NC,28466,28466,NORTH CAROLINA
WALLBURG,NC,27373,27373,NORTH CAROLINA
WALNUT COVE,NC,27052,27052,NORTH CAROLINA
WALSTONBURG,NC,27888,27888,NORTH CAROLINA
WANCHESE,NC,27981,27981,NORTH CAROLINA
WARNE,NC,28909,28909,NORTH CAROLINA
WARRENSVILLE,NC,28693,28693,NORTH CAROLINA
WARRENTON,NC,27589,27589,NORTH CAROLINA
WARSAW,NC,28398,28398,NORTH CAROLINA
WASHINGTON,NC,27889,27889,NORTH CAROLINA
WAXHAW,NC,28173,28173,NORTH CAROLINA
WAYNESVILLE,NC,28786,28786,NORTH CAROLINA
WEAVERVILLE,NC,28787,28787,NORTH CAROLINA
WEBSTER,NC,28788,28788,NORTH CAROLINA
WELCOME,NC,27374,27374,NORTH CAROLINA
WELDON,NC,27890,27890,NORTH CAROLINA
WENDELL,NC,27591,27591,NORTH CAROLINA
WENTWORTH,NC,27375,27375,NORTH CAROLINA
WEST END,NC,27376,27376,NORTH CAROLINA
WEST JEFFERSON,NC,28694,28694,NORTH CAROLINA
WESTFIELD,NC,27053,27053,NORTH CAROLINA
WHITAKERS,NC,27891,27891,NORTH CAROLINA
WHITE OAK,NC,28399,28399,NORTH CAROLINA
WHITEVILLE,NC,28472,28472,NORTH CAROLINA
WHITSETT,NC,27377,27377,NORTH CAROLINA
WHITTIER,NC,28789,28789,NORTH CAROLINA
WILLARD,NC,28478,28478,NORTH CAROLINA
WILLIAMSTON,NC,27892,27892,NORTH CAROLINA
WILLOW SPRING,NC,27592,27592,NORTH CAROLINA
WILMINGTON,NC,28401,28401,NORTH CAROLINA
WILMINGTON,NC,28403,28403,NORTH CAROLINA
WILMINGTON,NC,28411,28411,NORTH CAROLINA
WILMINGTON,NC,28405,28405,NORTH CAROLINA
WILMINGTON,NC,28412,28412,NORTH CAROLINA
WILSON,NC,27893,27893,NORTH CAROLINA
WILSONS MILLS,NC,27593,27593,NORTH CAROLINA
WINDSOR,NC,27983,27983,NORTH CAROLINA
WINFALL,NC,27985,27985,NORTH CAROLINA
WINGATE,NC,28174,28174,NORTH CAROLINA
WINNABOW,NC,28479,28479,NORTH CAROLINA
WINSTON SALEM,NC,27105,27105,NORTH CAROLINA
WINSTON SALEM,NC,27103,27103,NORTH CAROLINA
WINSTON SALEM,NC,27106,27106,NORTH CAROLINA
WINSTON SALEM,NC,27107,27107,NORTH CAROLINA
WINSTON SALEM,NC,27101,27101,NORTH CAROLINA
WINTERVILLE,NC,28590,28590,NORTH CAROLINA
WINTON,NC,27986,27986,NORTH CAROLINA
WISE,NC,27594,27594,NORTH CAROLINA
WOODLAND,NC,27897,27897,NORTH CAROLINA
WOODLEAF,NC,27054,27054,NORTH CAROLINA
WRIGHTSVILLE BEACH,NC,28480,28480,NORTH CAROLINA
YADKINVILLE,NC,27055,27055,NORTH CAROLINA
YANCEYVILLE,NC,27379,27379,NORTH CAROLINA
YOUNGSVILLE,NC,27596,27596,NORTH CAROLINA
ZEBULON,NC,27597,27597,NORTH CAROLINA
ZIONVILLE,NC,28698,28698,NORTH CAROLINA
ZIRCONIA,NC,28790,28790,NORTH CAROLINA
NEWTON HIGHLANDS,MA,2461,2461,Boston Reg
NEWTON UPPER FALLS,MA,2464,2464,Boston Reg
NEWTONVILLE,MA,2460,2458,Boston Reg
NEWTONVILLE,MA,2460,2460,Boston Reg
NEWTONVILLE,MA,2460,2462,Boston Reg
NORFOLK,MA,2056,2056,MW/495
NORTH ADAMS,MA,1247,1247,West MA
NORTH AMHERST,MA,1059,1059,West MA
NORTH ANDOVER,MA,1845,1845,North Shore
NORTH ATTLEBORO,MA,2760,2760,South
NORTH ATTLEBORO,MA,2760,2760,South
NORTH BILLERICA,MA,1862,1862,Boston Reg
NORTH BROOKFIELD,MA,1535,1535,Wor West
NORTH CARVER,MA,2355,2355,South
NORTH CHATHAM,MA,2650,2650,South
NORTH CHELMSFORD,MA,1863,1863,North Shore
NORTH DARTMOUTH,MA,2747,2747,South
NORTH DIGHTON,MA,2764,2764,South
NORTH EASTHAM,MA,2651,2651,South
NORTH EASTON,MA,2356,2356,South
NORTH FALMOUTH,MA,2556,2556,South
NORTH GRAFTON,MA,1536,1536,Wor Central
NORTH HATFIELD,MA,1066,1066,West MA
NORTH MARSHFIELD,MA,2059,2059,
NORTH OXFORD,MA,1537,1537,Wor West
NORTH PEMBROKE,MA,2358,2358,Boston Reg
NORTH READING,MA,1864,1864,Boston Reg
NORTH TRURO,MA,2652,2652,South
SCHROON LAKE,NY,12870,12870,North Shore
UPPER JAY,NY,12987,12987,North Shore
ACCORD,NY,12404,12404,NEW YORK 3
ACRA,NY,12405,12405,NEW YORK 3
ADAMS,NY,13605,13605,NEW YORK 3
ADAMS BASIN,NY,14410,14410,NEW YORK 3
ADAMS CENTER,NY,13606,13606,NEW YORK 3
ADDISON,NY,14801,14801,NEW YORK 3
ADIRONDACK,NY,12808,12808,NEW YORK 3
AFTON,NY,13730,13730,NEW YORK 3
AKRON,NY,14001,14001,NEW YORK 3
ALBANY,NY,12207,12207,NEW YORK 3
ALBANY,NY,12288,12288,NEW YORK 3
ALBANY,NY,12203,12203,NEW YORK 3
ALBANY,NY,12205,12205,NEW YORK 3
ALBANY,NY,12206,12206,NEW YORK 3
ALBANY,NY,12210,12210,NEW YORK 3
ALBANY,NY,12224,12224,NEW YORK 3
ALBION,NY,14411,14411,NEW YORK 3
ALCOVE,NY,12007,12007,NEW YORK 3
ALDEN,NY,14004,14004,NEW YORK 3
ALDER CREEK,NY,13301,13301,NEW YORK 3
ALEXANDER,NY,14005,14005,NEW YORK 3
ALEXANDRIA BAY,NY,13607,13607,NEW YORK 3
ALFRED,NY,14802,14802,NEW YORK 3
ALFRED STATION,NY,14803,14803,NEW YORK 3
ALLEGANY,NY,14706,14706,NEW YORK 3
ALLENTOWN,NY,14707,14707,NEW YORK 3
ALMOND,NY,14804,14804,NEW YORK 3
ALPINE,NY,14805,14805,NEW YORK 3
ALTAMONT,NY,12009,12009,NEW YORK 3
ALTMAR,NY,13302,13302,NEW YORK 3
ALTON,NY,14413,14413,NEW YORK 3
ALTONA,NY,12910,12910,NEW YORK 3
AMENIA,NY,12501,12501,NEW YORK 3
AMSTERDAM,NY,12010,12010,NEW YORK 3
ANCRAM,NY,12502,12502,NEW YORK 3
ANDES,NY,13731,13731,NEW YORK 3
ANDOVER,NY,14806,14806,NEW YORK 3
ANGELICA,NY,14709,14709,NEW YORK 3
ANGOLA,NY,14006,14006,NEW YORK 3
ANTWERP,NY,13608,13608,NEW YORK 3
APPLETON,NY,14008,14008,NEW YORK 3
APULIA STATION,NY,13020,13020,NEW YORK 3
ARCADE,NY,14009,14009,NEW YORK 3
ARDSLEY ON HUDSON,NY,10503,10503,NEW YORK 3
ARKPORT,NY,14807,14807,NEW YORK 3
ARKVILLE,NY,12406,12406,NEW YORK 3
ARMONK,NY,10504,10504,NEW YORK 3
ASHLAND,NY,12407,12407,NEW YORK 3
ASHVILLE,NY,14710,14710,NEW YORK 3
ATHENS,NY,12015,12015,NEW YORK 3
ATHOL,NY,12810,12810,NEW YORK 3
ATHOL SPRINGS,NY,14010,14010,NEW YORK 3
ATLANTA,NY,14808,14808,NEW YORK 3
ATTICA,NY,14011,14011,NEW YORK 3
AU SABLE FORKS,NY,12912,12912,NEW YORK 3
AUBURN,NY,13021,13021,NEW YORK 3
AUBURN,NY,13022,13022,NEW YORK 3
AURORA,NY,13026,13026,NEW YORK 3
AUSTERLITZ,NY,12017,12017,NEW YORK 3
AVA,NY,13303,13303,NEW YORK 3
AVERILL PARK,NY,12018,12018,NEW YORK 3
AVOCA,NY,14809,14809,NEW YORK 3
AVON,NY,14414,14414,NEW YORK 3
BAINBRIDGE,NY,13733,13733,NEW YORK 3
BAKERS MILLS,NY,12811,12811,NEW YORK 3
BALDWINSVILLE,NY,13027,13027,NEW YORK 3
BANGALL,NY,12506,12506,NEW YORK 3
BARKER,NY,14012,14012,NEW YORK 3
BARNEVELD,NY,13304,13304,NEW YORK 3
BARRYVILLE,NY,12719,12719,NEW YORK 3
BASOM,NY,14013,14013,NEW YORK 3
BATAVIA,NY,14020,14020,NEW YORK 3
BATH,NY,14810,14810,NEW YORK 3
BEAR MOUNTAIN,NY,10911,10911,NEW YORK 3
BEARSVILLE,NY,12409,12409,NEW YORK 3
BEAVER DAMS,NY,14812,14812,NEW YORK 3
BEAVER FALLS,NY,13305,13305,NEW YORK 3
BEDFORD,NY,10506,10506,NEW YORK 3
BEDFORD HILLS,NY,10507,10507,NEW YORK 3
BELFAST,NY,14711,14711,NEW YORK 3
BELLEVILLE,NY,13611,13611,NEW YORK 3
BELLONA,NY,14415,14415,NEW YORK 3
BELMONT,NY,14813,14813,NEW YORK 3
BEMUS POINT,NY,14712,14712,NEW YORK 3
BERGEN,NY,14416,14416,NEW YORK 3
BERKSHIRE,NY,13736,13736,NEW YORK 3
BERLIN,NY,12022,12022,NEW YORK 3
BERNE,NY,12023,12023,NEW YORK 3
BERNHARDS BAY,NY,13028,13028,NEW YORK 3
BETHEL,NY,12720,12720,NEW YORK 3
BIBLE SCHOOL PARK,NY,13737,13737,NEW YORK 3
BIG FLATS,NY,14814,14814,NEW YORK 3
BIG INDIAN,NY,12410,12410,NEW YORK 3
BILLINGS,NY,12510,12510,NEW YORK 3
BINGHAMTON,NY,13902,13902,NEW YORK 3
BINGHAMTON,NY,13903,13903,NEW YORK 3
BLACK CREEK,NY,14714,14714,NEW YORK 3
BLACK RIVER,NY,13612,13612,NEW YORK 3
BLAUVELT,NY,10913,10913,NEW YORK 3
BLISS,NY,14024,14024,NEW YORK 3
BLODGETT MILLS,NY,13738,13738,NEW YORK 3
BLOOMFIELD,NY,14469,14469,NEW YORK 3
BLOOMING GROVE,NY,10914,10914,NEW YORK 3
BLOOMINGBURG,NY,12721,12721,NEW YORK 3
BLOOMINGDALE,NY,12913,12913,NEW YORK 3
BLOOMINGTON,NY,12411,12411,NEW YORK 3
BLOSSVALE,NY,13308,13308,NEW YORK 3
BLUE MOUNTAIN LAKE,NY,12812,12812,NEW YORK 3
BOICEVILLE,NY,12412,12412,NEW YORK 3
BOLIVAR,NY,14715,14715,NEW YORK 3
BOLTON LANDING,NY,12814,12814,NEW YORK 3
BOMBAY,NY,12914,12914,NEW YORK 3
BOONVILLE,NY,13309,13309,NEW YORK 3
BOSTON,NY,14025,14025,NEW YORK 3
BOVINA CENTER,NY,13740,13740,NEW YORK 3
BOWMANSVILLE,NY,14026,14026,NEW YORK 3
BRAINARDSVILLE,NY,12915,12915,NEW YORK 3
BRANT,NY,14027,14027,NEW YORK 3
BRANT LAKE,NY,12815,12815,NEW YORK 3
BRASHER FALLS,NY,13613,13613,NEW YORK 3
BREESPORT,NY,14816,14816,NEW YORK 3
BREWERTON,NY,13029,13029,NEW YORK 3
BREWSTER,NY,10509,10509,NEW YORK 3
BRIARCLIFF MANOR,NY,10510,10510,NEW YORK 3
BRIDGEPORT,NY,13030,13030,NEW YORK 3
BRIDGEWATER,NY,13313,13313,NEW YORK 3
BRIER HILL,NY,13614,13614,NEW YORK 3
BROADALBIN,NY,12025,12025,NEW YORK 3
BROCKPORT,NY,14420,14420,NEW YORK 3
BROCTON,NY,14716,14716,NEW YORK 3
BRONXVILLE,NY,10708,10708,NEW YORK 3
BROOKFIELD,NY,13314,13314,NEW YORK 3
BROOKTONDALE,NY,14817,14817,NEW YORK 3
BROWNVILLE,NY,13615,13615,NEW YORK 3
BRUSHTON,NY,12916,12916,NEW YORK 3
BUCHANAN,NY,10511,10511,NEW YORK 3
BUFFALO,NY,14202,14202,NEW YORK 3
BUFFALO,NY,14203,14203,NEW YORK 3
BUFFALO,NY,14240,14240,NEW YORK 3
BUFFALO,NY,14207,14207,NEW YORK 3
BUFFALO,NY,14215,14215,NEW YORK 3
BUFFALO,NY,14212,14212,NEW YORK 3
BUFFALO,NY,14213,14213,NEW YORK 3
BUFFALO,NY,14217,14217,NEW YORK 3
BUFFALO,NY,14218,14218,NEW YORK 3
BUFFALO,NY,14220,14220,NEW YORK 3
BUFFALO,NY,14219,14219,NEW YORK 3
BUFFALO,NY,14221,14221,NEW YORK 3
BUFFALO,NY,14223,14223,NEW YORK 3
BUFFALO,NY,14224,14224,NEW YORK 3
BUFFALO,NY,14225,14225,NEW YORK 3
BULLVILLE,NY,10915,10915,NEW YORK 3
BURDETT,NY,14818,14818,NEW YORK 3
BURKE,NY,12917,12917,NEW YORK 3
BURLINGHAM,NY,12722,12722,NEW YORK 3
BURLINGTON FLATS,NY,13315,13315,NEW YORK 3
BURNT HILLS,NY,12027,12027,NEW YORK 3
BYRON,NY,14422,14422,NEW YORK 3
CADYVILLE,NY,12918,12918,NEW YORK 3
CAIRO,NY,12413,12413,NEW YORK 3
CALCIUM,NY,13616,13616,NEW YORK 3
CALLICOON CENTER,NY,12724,12724,NEW YORK 3
CAMBRIDGE,NY,12816,12816,NEW YORK 3
CAMDEN,NY,13316,13316,NEW YORK 3
CAMERON MILLS,NY,14820,14820,NEW YORK 3
CAMILLUS,NY,13031,13031,NEW YORK 3
CAMPBELL,NY,14821,14821,NEW YORK 3
CAMPBELL HALL,NY,10916,10916,NEW YORK 3
CANAJOHARIE,NY,13317,13317,NEW YORK 3
CANANDAIGUA,NY,14424,14424,NEW YORK 3
CANASERAGA,NY,14822,14822,NEW YORK 3
CANASTOTA,NY,13032,13032,NEW YORK 3
CANDOR,NY,13743,13743,NEW YORK 3
CANEADEA,NY,14717,14717,NEW YORK 3
CANISTEO,NY,14823,14823,NEW YORK 3
CANTON,NY,13617,13617,NEW YORK 3
CAPE VINCENT,NY,13618,13618,NEW YORK 3
CAROGA LAKE,NY,12032,12032,NEW YORK 3
CARTHAGE,NY,13619,13619,NEW YORK 3
CASSADAGA,NY,14718,14718,NEW YORK 3
CASSVILLE,NY,13318,13318,NEW YORK 3
CASTILE,NY,14427,14427,NEW YORK 3
CASTLETON ON HUDSON,NY,12033,12033,NEW YORK 3
CASTORLAND,NY,13620,13620,NEW YORK 3
CATO,NY,13033,13033,NEW YORK 3
CATSKILL,NY,12414,12414,NEW YORK 3
CATTARAUGUS,NY,14719,14719,NEW YORK 3
CAYUGA,NY,13034,13034,NEW YORK 3
CAYUTA,NY,14824,14824,NEW YORK 3
CAZENOVIA,NY,13035,13035,NEW YORK 3
CELORON,NY,14720,14720,NEW YORK 3
CENTERVILLE,NY,14029,14029,NEW YORK 3
CENTRAL BRIDGE,NY,12035,12035,NEW YORK 3
CENTRAL SQUARE,NY,13036,13036,NEW YORK 3
CENTRAL VALLEY,NY,10917,10917,NEW YORK 3
CERES,NY,14721,14721,NEW YORK 3
CHADWICKS,NY,13319,13319,NEW YORK 3
CHAFFEE,NY,14030,14030,NEW YORK 3
CHAMPLAIN,NY,12919,12919,NEW YORK 3
CHARLOTTEVILLE,NY,12036,12036,NEW YORK 3
CHASE MILLS,NY,13621,13621,NEW YORK 3
CHATEAUGAY,NY,12920,12920,NEW YORK 3
CHATHAM,NY,12037,12037,NEW YORK 3
CHAUMONT,NY,13622,13622,NEW YORK 3
CHAUTAUQUA,NY,14722,14722,NEW YORK 3
CHAZY,NY,12921,12921,NEW YORK 3
CHELSEA,NY,12512,12512,NEW YORK 3
CHEMUNG,NY,14825,14825,NEW YORK 3
CHENANGO BRIDGE,NY,13745,13745,NEW YORK 3
CHENANGO FORKS,NY,13746,13746,NEW YORK 3
CHERRY CREEK,NY,14723,14723,NEW YORK 3
CHERRY PLAIN,NY,12040,12040,NEW YORK 3
CHERRY VALLEY,NY,13320,13320,NEW YORK 3
CHESTER,NY,10918,10918,NEW YORK 3
CHESTERTOWN,NY,12817,12817,NEW YORK 3
CHICHESTER,NY,12416,12416,NEW YORK 3
CHIPPEWA BAY,NY,13623,13623,NEW YORK 3
CHITTENANGO,NY,13037,13037,NEW YORK 3
CHURCHVILLE,NY,14428,14428,NEW YORK 3
CHURUBUSCO,NY,12923,12923,NEW YORK 3
CINCINNATUS,NY,13040,13040,NEW YORK 3
CIRCLEVILLE,NY,10919,10919,NEW YORK 3
CLARENCE,NY,14031,14031,NEW YORK 3
CLARENCE CENTER,NY,14032,14032,NEW YORK 3
CLARENDON,NY,14429,14429,NEW YORK 3
CLARK MILLS,NY,13321,13321,NEW YORK 3
CLARKSON,NY,14430,14430,NEW YORK 3
CLARKSVILLE,NY,12041,12041,NEW YORK 3
CLARYVILLE,NY,12725,12725,NEW YORK 3
CLAVERACK,NY,12513,12513,NEW YORK 3
CLAYTON,NY,13624,13624,NEW YORK 3
CLAYVILLE,NY,13322,13322,NEW YORK 3
CLEMONS,NY,12819,12819,NEW YORK 3
CLEVERDALE,NY,12820,12820,NEW YORK 3
CLIFTON SPRINGS,NY,14432,14432,NEW YORK 3
CLINTON,NY,13323,13323,NEW YORK 3
CLINTON CORNERS,NY,12514,12514,NEW YORK 3
CLINTONDALE,NY,12515,12515,NEW YORK 3
CLOCKVILLE,NY,13043,13043,NEW YORK 3
CLYDE,NY,14433,14433,NEW YORK 3
CLYMER,NY,14724,14724,NEW YORK 3
COBLESKILL,NY,12043,12043,NEW YORK 3
COCHECTON,NY,12726,12726,NEW YORK 3
COEYMANS,NY,12045,12045,NEW YORK 3
COEYMANS HOLLOW,NY,12046,12046,NEW YORK 3
COHOCTON,NY,14826,14826,NEW YORK 3
COHOES,NY,12047,12047,NEW YORK 3
COLD BROOK,NY,13324,13324,NEW YORK 3
COLD SPRING,NY,10516,10516,NEW YORK 3
COLDEN,NY,14033,14033,NEW YORK 3
COLLIERSVILLE,NY,13747,13747,NEW YORK 3
COLLINS,NY,14034,14034,NEW YORK 3
COLLINS CENTER,NY,14035,14035,NEW YORK 3
COLTON,NY,13625,13625,NEW YORK 3
COLUMBIAVILLE,NY,12050,12050,NEW YORK 3
COMSTOCK,NY,12821,12821,NEW YORK 3
CONESUS,NY,14435,14435,NEW YORK 3
CONEWANGO VALLEY,NY,14726,14726,NEW YORK 3
CONGERS,NY,10920,10920,NEW YORK 3
CONKLIN,NY,13748,13748,NEW YORK 3
CONNELLY,NY,12417,12417,NEW YORK 3
CONSTABLE,NY,12926,12926,NEW YORK 3
CONSTABLEVILLE,NY,13325,13325,NEW YORK 3
CONSTANTIA,NY,13044,13044,NEW YORK 3
COOPERS PLAINS,NY,14827,14827,NEW YORK 3
COOPERSTOWN,NY,13326,13326,NEW YORK 3
COPAKE,NY,12516,12516,NEW YORK 3
COPAKE FALLS,NY,12517,12517,NEW YORK 3
COPENHAGEN,NY,13626,13626,NEW YORK 3
CORBETTSVILLE,NY,13749,13749,NEW YORK 3
CORFU,NY,14036,14036,NEW YORK 3
CORINTH,NY,12822,12822,NEW YORK 3
CORNING,NY,14830,14830,NEW YORK 3
CORNWALL,NY,12518,12518,NEW YORK 3
CORNWALL ON HUDSON,NY,12520,12520,NEW YORK 3
CORNWALLVILLE,NY,12418,12418,NEW YORK 3
COSSAYUNA,NY,12823,12823,NEW YORK 3
COTTEKILL,NY,12419,12419,NEW YORK 3
COXSACKIE,NY,12051,12051,NEW YORK 3
CRAGSMOOR,NY,12420,12420,NEW YORK 3
CRANBERRY LAKE,NY,12927,12927,NEW YORK 3
CRARYVILLE,NY,12521,12521,NEW YORK 3
CROGHAN,NY,13327,13327,NEW YORK 3
CROMPOND,NY,10517,10517,NEW YORK 3
CROPSEYVILLE,NY,12052,12052,NEW YORK 3
CROSS RIVER,NY,10518,10518,NEW YORK 3
CROTON FALLS,NY,10519,10519,NEW YORK 3
CROTON ON HUDSON,NY,10520,10520,NEW YORK 3
CROWN POINT,NY,12928,12928,NEW YORK 3
CUBA,NY,14727,14727,NEW YORK 3
CUDDEBACKVILLE,NY,12729,12729,NEW YORK 3
DALE,NY,14039,14039,NEW YORK 3
DALTON,NY,14836,14836,NEW YORK 3
DANNEMORA,NY,12929,12929,NEW YORK 3
DANSVILLE,NY,14437,14437,NEW YORK 3
DARIEN CENTER,NY,14040,14040,NEW YORK 3
DAVENPORT,NY,13750,13750,NEW YORK 3
DAVENPORT CENTER,NY,13751,13751,NEW YORK 3
DAYTON,NY,14041,14041,NEW YORK 3
DE KALB JUNCTION,NY,13630,13630,NEW YORK 3
DE PEYSTER,NY,13633,13633,NEW YORK 3
DE RUYTER,NY,13052,13052,NEW YORK 3
DEANSBORO,NY,13328,13328,NEW YORK 3
DEFERIET,NY,13628,13628,NEW YORK 3
DELANSON,NY,12053,12053,NEW YORK 3
DELEVAN,NY,14042,14042,NEW YORK 3
DELHI,NY,13753,13753,NEW YORK 3
DELPHI FALLS,NY,13051,13051,NEW YORK 3
DENVER,NY,12421,12421,NEW YORK 3
DEPAUVILLE,NY,13632,13632,NEW YORK 3
DEPEW,NY,14043,14043,NEW YORK 3
DEPOSIT,NY,13754,13754,NEW YORK 3
DERBY,NY,14047,14047,NEW YORK 3
DEWITTVILLE,NY,14728,14728,NEW YORK 3
DEXTER,NY,13634,13634,NEW YORK 3
DIAMOND POINT,NY,12824,12824,NEW YORK 3
DICKINSON CENTER,NY,12930,12930,NEW YORK 3
DOLGEVILLE,NY,13329,13329,NEW YORK 3
DOVER PLAINS,NY,12522,12522,NEW YORK 3
DOWNSVILLE,NY,13755,13755,NEW YORK 3
DRESDEN,NY,14441,14441,NEW YORK 3
DRYDEN,NY,13053,13053,NEW YORK 3
DUANESBURG,NY,12056,12056,NEW YORK 3
DUNDEE,NY,14837,14837,NEW YORK 3
DUNKIRK,NY,14048,14048,NEW YORK 3
DURHAMVILLE,NY,13054,13054,NEW YORK 3
EAGLE BAY,NY,13331,13331,NEW YORK 3
EAGLE BRIDGE,NY,12057,12057,NEW YORK 3
EARLTON,NY,12058,12058,NEW YORK 3
EARLVILLE,NY,13332,13332,NEW YORK 3
EAST AMHERST,NY,14051,14051,NEW YORK 3
EAST BERNE,NY,12059,12059,NEW YORK 3
EAST BRANCH,NY,13756,13756,NEW YORK 3
EAST CHATHAM,NY,12060,12060,NEW YORK 3
EAST CONCORD,NY,14055,14055,NEW YORK 3
EAST DURHAM,NY,12423,12423,NEW YORK 3
EAST GREENBUSH,NY,12061,12061,NEW YORK 3
EAST MEREDITH,NY,13757,13757,NEW YORK 3
EAST NASSAU,NY,12062,12062,NEW YORK 3
EAST OTTO,NY,14729,14729,NEW YORK 3
EAST PEMBROKE,NY,14056,14056,NEW YORK 3
EAST ROCHESTER,NY,14445,14445,NEW YORK 3
EAST SCHODACK,NY,12063,12063,NEW YORK 3
